product_name,year_month,warehouse_inventory,inventory_cost_per_unit,inventory_date
Nike Men's Comfort 2 Slide,201711,0,1.03473,2017-11-01
adidas Youth Germany Black/Red Away Match Soc,201711,0,1.15918,2017-11-01
Team Golf St. Louis Cardinals Putter Grip,201711,0,1.3009,2017-11-01
LIJA Women's Eyelet Sleeveless Golf Polo,201711,0,0.96918,2017-11-01
adidas Men's F10 Messi TRX FG Soccer Cleat,201711,0,1.95337,2017-11-01
Glove It Women's Imperial Golf Glove,201711,0,0.87019,2017-11-01
Glove It Imperial Golf Towel,201711,2,1.86995,2017-11-01
Bridgestone e6 Straight Distance NFL Carolina,201711,0,2.20461,2017-11-01
Glove It Women's Mod Oval 3-Zip Carry All Gol,201711,0,0.31714,2017-11-01
Columbia Men's PFG Anchor Tough T-Shirt,201711,0,1.37329,2017-11-01
Under Armour Women's Ignite Slide,201711,0,0.29626,2017-11-01
Team Golf Tennessee Volunteers Putter Grip,201711,0,0.83648,2017-11-01
Titleist Pro V1x High Numbers Personalized Go,201711,0,0.71236,2017-11-01
Nike Men's Deutschland Weltmeister Winners Bl,201711,0,1.9268,2017-11-01
Bridgestone e6 Straight Distance NFL San Dieg,201711,0,2.22572,2017-11-01
Nike Women's Tempo Shorts,201711,0,0.95345,2017-11-01
Team Golf Texas Longhorns Putter Grip,201711,0,2.1138,2017-11-01
Hirzl Women's Soffft Flex Golf Glove,201711,0,2.28022,2017-11-01
Clicgear 8.0 Shoe Brush,201711,0,1.62205,2017-11-01
Hirzl Women's Hybrid Golf Glove,201711,0,0.44146,2017-11-01
Team Golf Pittsburgh Steelers Putter Grip,201711,0,1.59423,2017-11-01
Top Flite Women's 2017 XL Hybrid,201711,0,0.75864,2017-11-01
Glove It Urban Brick Golf Towel,201711,0,0.82516,2017-11-01
Nike Dri-FIT Crew Sock 6 Pack,201711,0,1.03676,2017-11-01
TYR Boys' Team Digi Jammer,201711,0,1.2935,2017-11-01
Team Golf San Francisco Giants Putter Grip,201711,0,0.31878,2017-11-01
Clicgear Rovic Cooler Bag,201711,0,1.61228,2017-11-01
Hirzl Men's Hybrid Golf Glove,201711,0,1.18082,2017-11-01
Titleist Pro V1x Golf Balls,201711,0,1.57594,2017-11-01
adidas Men's Germany Black Crest Away Tee,201711,0,0.36907,2017-11-01
Titleist Pro V1 High Numbers Personalized Gol,201711,0,1.78277,2017-11-01
Under Armour Women's Micro G Skulpt Running S,201711,0,0.95777,2017-11-01
Under Armour Hustle Storm Medium Duffle Bag,201711,2,1.54382,2017-11-01
Under Armour Women's Ignite PIP VI Slide,201711,0,0.80255,2017-11-01
Bag Boy Beverage Holder,201711,0,0.37946,2017-11-01
Under Armour Men's Tech II T-Shirt,201711,0,0.24393,2017-11-01
Team Golf New England Patriots Putter Grip,201711,0,0.70882,2017-11-01
Under Armour Men's Compression EV SL Slide,201711,0,1.16109,2017-11-01
Bridgestone e6 Straight Distance NFL Tennesse,201711,0,0.4111,2017-11-01
Glove It Women's Mod Oval Golf Glove,201711,0,2.23179,2017-11-01
Titleist Pro V1x High Numbers Golf Balls,201711,0,0.60281,2017-11-01
Nike Women's Legend V-Neck T-Shirt,201711,0,1.51008,2017-11-01
Under Armour Kids' Mercenary Slide,201711,0,2.04851,2017-11-01
adidas Kids' F5 Messi FG Soccer Cleat,201711,0,2.26857,2017-11-01
Children's heaters,201711,1,0.78152,2017-11-01
Web Camera,201711,5,1.5434,2017-11-01
Dell Laptop,201711,22,1.21721,2017-11-01
Porcelain crafts,201711,36,0.54235,2017-11-01
Sports Books,201711,26,1.46957,2017-11-01
DVDs,201711,33,0.79126,2017-11-01
Industrial consumer electronics,201711,0,1.80573,2017-11-01
Fighting video games,201711,18,0.156,2017-11-01
Summer dresses,201711,25,0.2102,2017-11-01
Lawn mower,201711,8,0.27954,2017-11-01
Adult dog supplies,201711,19,2.29154,2017-11-01
Rock music,201711,2,0.73288,2017-11-01
Elevation Training Mask 2.0,201711,0,0.19942,2017-11-01
LIJA Women's Mid-Length Panel Golf Shorts,201711,0,0.62155,2017-11-01
Toys,201711,0,1.09646,2017-11-01
Brooks Women's Ghost 6 Running Shoe,201711,0,0.34501,2017-11-01
Bag Boy M330 Push Cart,201711,0,1.55828,2017-11-01
Merrell Women's Grassbow Sport Hiking Shoe,201711,0,0.53424,2017-11-01
Nike Men's Free TR 5.0 TB Training Shoe,201711,0,0.7889,2017-11-01
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201711,0,0.37848,2017-11-01
First aid kit,201711,0,2.29855,2017-11-01
CDs of rock,201711,3,0.85409,2017-11-01
Polar FT4 Heart Rate Monitor,201711,0,1.77867,2017-11-01
LIJA Women's Argyle Golf Polo,201711,0,1.2768,2017-11-01
TaylorMade White Smoke IN-12 Putter,201711,0,2.26641,2017-11-01
Fitbit The One Wireless Activity & Sleep Trac,201711,0,1.56387,2017-11-01
Nike Kids' Grade School KD VI Basketball Shoe,201711,0,0.66894,2017-11-01
The North Face Women's Recon Backpack,201711,0,0.64597,2017-11-01
Smart watch,201711,30,1.08703,2017-11-01
Baby sweater,201711,10,0.30632,2017-11-01
MDGolf Pittsburgh Penguins Putter,201711,0,1.19935,2017-11-01
Men's gala suit,201711,5,1.20661,2017-11-01
Merrell Men's All Out Flash Trail Running Sho,201711,2,1.98059,2017-11-01
Garmin Approach S3 Golf GPS Watch,201711,0,1.21618,2017-11-01
LIJA Women's Button Golf Dress,201711,0,1.44057,2017-11-01
Cleveland Golf Women's 588 RTX CB Satin Chrom,201711,0,1.75228,2017-11-01
Merrell Women's Siren Mid Waterproof Hiking B,201711,0,1.97427,2017-11-01
TaylorMade Women's RBZ SL Rescue,201711,0,0.37808,2017-11-01
Mio ALPHA Heart Rate Monitor/Sport Watch,201711,0,1.04173,2017-11-01
TaylorMade 2017 Purelite Stand Bag,201711,0,0.23332,2017-11-01
Cleveland Golf Collegiate My Custom Wedge 588,201711,0,1.03187,2017-11-01
adidas Brazuca 2017 Official Match Ball,201711,0,2.02978,2017-11-01
Nike Men's Fingertrap Max Training Shoe,201711,0,0.5335,2017-11-01
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201711,2,0.5909,2017-11-01
Nike Men's Kobe IX Elite Low Basketball Shoe,201711,0,0.5749,2017-11-01
Ogio Race Golf Shoes,201711,0,0.39652,2017-11-01
insta-bed Neverflat Air Mattress,201711,0,1.65185,2017-11-01
GolfBuddy VT3 GPS Watch,201711,0,1.46056,2017-11-01
Merrell Women's Grassbow Sport Waterproof Hik,201711,0,2.07629,2017-11-01
Titleist Small Wheeled Travel Cover,201711,0,0.77099,2017-11-01
Polar Loop Activity Tracker,201711,1,1.0942,2017-11-01
Pelican Maverick 100X Kayak,201711,0,1.63028,2017-11-01
Garmin Approach S4 Golf GPS Watch,201711,0,2.32042,2017-11-01
Total Gym 1400,201711,0,2.02645,2017-11-01
Garmin Forerunner 910XT GPS Watch,201711,0,1.4785,2017-11-01
Titleist Club Glove Travel Cover,201711,0,0.99194,2017-11-01
GoPro HERO3+ Black Edition Camera,201711,0,0.70677,2017-11-01
Diamondback Boys' Insight 24 Performance Hybr,201711,0,2.32551,2017-11-01
Diamondback Girls' Clarity 24 Hybrid Bike 201,201711,0,1.95685,2017-11-01
Stiga Master Series ST3100 Competition Indoor,201711,0,0.62974,2017-11-01
SOLE E35 Elliptical,201711,6,1.20568,2017-11-01
Bushnell Pro X7 Jolt Slope Rangefinder,201711,34,1.75316,2017-11-01
SOLE E25 Elliptical,201711,24,2.00579,2017-11-01
Bowflex SelectTech 1090 Dumbbells,201711,7,1.35111,2017-11-01
Perfect Fitness Perfect Rip Deck,201710,2,2.28291,2017-10-01
Nike Men's Dri-FIT Victory Golf Polo,201710,19,2.29996,2017-10-01
O'Brien Men's Neoprene Life Vest,201710,8,2.0023,2017-10-01
Nike Men's Free 5.0+ Running Shoe,201710,7,1.31385,2017-10-01
Under Armour Girls' Toddler Spine Surge Runni,201710,14,1.33668,2017-10-01
Nike Men's CJ Elite 2 TD Football Cleat,201710,0,0.44156,2017-10-01
Field & Stream Sportsman 16 Gun Fire Safe,201710,0,0.40466,2017-10-01
Pelican Sunstream 100 Kayak,201710,0,2.03988,2017-10-01
Diamondback Women's Serene Classic Comfort Bi,201710,0,1.77754,2017-10-01
ENO Atlas Hammock Straps,201710,0,1.05987,2017-10-01
Nike Men's Comfort 2 Slide,201710,0,0.97586,2017-10-01
adidas Youth Germany Black/Red Away Match Soc,201710,0,1.57212,2017-10-01
Team Golf St. Louis Cardinals Putter Grip,201710,0,0.36145,2017-10-01
LIJA Women's Eyelet Sleeveless Golf Polo,201710,0,1.55363,2017-10-01
adidas Men's F10 Messi TRX FG Soccer Cleat,201710,0,2.24155,2017-10-01
Glove It Women's Imperial Golf Glove,201710,0,0.14742,2017-10-01
Glove It Imperial Golf Towel,201710,0,1.28418,2017-10-01
Bridgestone e6 Straight Distance NFL Carolina,201710,0,0.88873,2017-10-01
Glove It Women's Mod Oval 3-Zip Carry All Gol,201710,0,2.17162,2017-10-01
Columbia Men's PFG Anchor Tough T-Shirt,201710,0,2.2386,2017-10-01
Under Armour Women's Ignite Slide,201710,0,1.56443,2017-10-01
Team Golf Tennessee Volunteers Putter Grip,201710,0,2.11911,2017-10-01
Titleist Pro V1x High Numbers Personalized Go,201710,0,2.11361,2017-10-01
Nike Men's Deutschland Weltmeister Winners Bl,201710,0,0.44429,2017-10-01
Bridgestone e6 Straight Distance NFL San Dieg,201710,0,0.2727,2017-10-01
Nike Women's Tempo Shorts,201710,0,0.31513,2017-10-01
Team Golf Texas Longhorns Putter Grip,201710,0,0.85579,2017-10-01
Hirzl Women's Soffft Flex Golf Glove,201710,0,1.68079,2017-10-01
Clicgear 8.0 Shoe Brush,201710,0,0.75891,2017-10-01
Hirzl Women's Hybrid Golf Glove,201710,0,2.0864,2017-10-01
Team Golf Pittsburgh Steelers Putter Grip,201710,0,2.21873,2017-10-01
Top Flite Women's 2017 XL Hybrid,201710,2,2.03709,2017-10-01
Glove It Urban Brick Golf Towel,201710,0,2.31327,2017-10-01
Nike Dri-FIT Crew Sock 6 Pack,201710,0,0.82014,2017-10-01
TYR Boys' Team Digi Jammer,201710,0,0.30068,2017-10-01
Team Golf San Francisco Giants Putter Grip,201710,0,1.88387,2017-10-01
Clicgear Rovic Cooler Bag,201710,0,2.14677,2017-10-01
Hirzl Men's Hybrid Golf Glove,201710,0,2.18555,2017-10-01
Titleist Pro V1x Golf Balls,201710,0,1.29717,2017-10-01
adidas Men's Germany Black Crest Away Tee,201710,0,1.03461,2017-10-01
Titleist Pro V1 High Numbers Personalized Gol,201710,0,1.30144,2017-10-01
Under Armour Women's Micro G Skulpt Running S,201710,0,1.17006,2017-10-01
Under Armour Hustle Storm Medium Duffle Bag,201710,0,1.88358,2017-10-01
Under Armour Women's Ignite PIP VI Slide,201710,0,0.23134,2017-10-01
Bag Boy Beverage Holder,201710,0,0.14176,2017-10-01
Under Armour Men's Tech II T-Shirt,201710,0,0.19946,2017-10-01
Team Golf New England Patriots Putter Grip,201710,0,1.0851,2017-10-01
Under Armour Men's Compression EV SL Slide,201710,0,0.10481,2017-10-01
Bridgestone e6 Straight Distance NFL Tennesse,201710,0,1.51056,2017-10-01
Glove It Women's Mod Oval Golf Glove,201710,0,0.77133,2017-10-01
Titleist Pro V1x High Numbers Golf Balls,201710,0,0.90062,2017-10-01
Nike Women's Legend V-Neck T-Shirt,201710,0,1.48976,2017-10-01
Under Armour Kids' Mercenary Slide,201710,0,1.3402,2017-10-01
adidas Kids' F5 Messi FG Soccer Cleat,201710,0,1.85932,2017-10-01
Children's heaters,201710,3,2.28254,2017-10-01
Web Camera,201710,234,0.88759,2017-10-01
Dell Laptop,201710,33,1.59011,2017-10-01
Porcelain crafts,201710,39,1.99338,2017-10-01
Sports Books,201710,58,2.03661,2017-10-01
DVDs,201710,41,0.17026,2017-10-01
Industrial consumer electronics,201710,5,0.67386,2017-10-01
Fighting video games,201710,0,1.93933,2017-10-01
Summer dresses,201710,0,1.95157,2017-10-01
Lawn mower,201710,0,0.28382,2017-10-01
Adult dog supplies,201710,0,1.58566,2017-10-01
Rock music,201710,0,0.98812,2017-10-01
Elevation Training Mask 2.0,201710,0,1.73172,2017-10-01
LIJA Women's Mid-Length Panel Golf Shorts,201710,0,0.51203,2017-10-01
Toys,201710,0,1.73503,2017-10-01
Brooks Women's Ghost 6 Running Shoe,201710,0,0.34837,2017-10-01
Bag Boy M330 Push Cart,201710,0,1.52002,2017-10-01
Merrell Women's Grassbow Sport Hiking Shoe,201710,0,1.35694,2017-10-01
Nike Men's Free TR 5.0 TB Training Shoe,201710,0,0.14742,2017-10-01
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201710,0,1.67831,2017-10-01
First aid kit,201710,0,0.92517,2017-10-01
CDs of rock,201710,34,2.22295,2017-10-01
Polar FT4 Heart Rate Monitor,201710,0,1.1344,2017-10-01
LIJA Women's Argyle Golf Polo,201710,0,0.25182,2017-10-01
TaylorMade White Smoke IN-12 Putter,201710,0,0.57951,2017-10-01
Fitbit The One Wireless Activity & Sleep Trac,201710,0,0.41727,2017-10-01
Nike Kids' Grade School KD VI Basketball Shoe,201710,0,1.77219,2017-10-01
The North Face Women's Recon Backpack,201710,0,0.60513,2017-10-01
Smart watch,201710,0,1.54556,2017-10-01
Baby sweater,201710,27,1.52727,2017-10-01
MDGolf Pittsburgh Penguins Putter,201710,1,0.74719,2017-10-01
Men's gala suit,201710,0,1.0719,2017-10-01
Merrell Men's All Out Flash Trail Running Sho,201710,0,1.34555,2017-10-01
Garmin Approach S3 Golf GPS Watch,201710,4,1.83329,2017-10-01
LIJA Women's Button Golf Dress,201710,0,2.2351,2017-10-01
Cleveland Golf Women's 588 RTX CB Satin Chrom,201710,1,0.79587,2017-10-01
Merrell Women's Siren Mid Waterproof Hiking B,201710,0,0.70591,2017-10-01
TaylorMade Women's RBZ SL Rescue,201710,0,0.41059,2017-10-01
Mio ALPHA Heart Rate Monitor/Sport Watch,201710,0,0.96631,2017-10-01
TaylorMade 2017 Purelite Stand Bag,201710,0,1.47356,2017-10-01
Cleveland Golf Collegiate My Custom Wedge 588,201710,0,2.31264,2017-10-01
adidas Brazuca 2017 Official Match Ball,201710,2,0.85572,2017-10-01
Nike Men's Fingertrap Max Training Shoe,201710,0,1.0038,2017-10-01
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201710,0,0.6631,2017-10-01
Nike Men's Kobe IX Elite Low Basketball Shoe,201710,0,2.14424,2017-10-01
Ogio Race Golf Shoes,201710,0,0.95115,2017-10-01
insta-bed Neverflat Air Mattress,201710,0,0.13712,2017-10-01
GolfBuddy VT3 GPS Watch,201710,0,1.8096,2017-10-01
Merrell Women's Grassbow Sport Waterproof Hik,201710,0,1.52272,2017-10-01
Titleist Small Wheeled Travel Cover,201710,0,1.37731,2017-10-01
Polar Loop Activity Tracker,201710,0,1.61345,2017-10-01
Pelican Maverick 100X Kayak,201710,0,0.84104,2017-10-01
Garmin Approach S4 Golf GPS Watch,201710,0,0.16798,2017-10-01
Total Gym 1400,201710,0,2.13241,2017-10-01
Garmin Forerunner 910XT GPS Watch,201710,2,0.53606,2017-10-01
Titleist Club Glove Travel Cover,201710,0,2.32454,2017-10-01
GoPro HERO3+ Black Edition Camera,201710,1,1.37089,2017-10-01
Diamondback Boys' Insight 24 Performance Hybr,201710,4,2.15012,2017-10-01
Diamondback Girls' Clarity 24 Hybrid Bike 201,201710,0,1.81528,2017-10-01
Stiga Master Series ST3100 Competition Indoor,201710,0,1.30528,2017-10-01
SOLE E35 Elliptical,201710,10,2.07893,2017-10-01
Bushnell Pro X7 Jolt Slope Rangefinder,201710,29,1.82287,2017-10-01
SOLE E25 Elliptical,201710,7,1.92174,2017-10-01
Bowflex SelectTech 1090 Dumbbells,201710,10,2.32944,2017-10-01
Perfect Fitness Perfect Rip Deck,201709,536,1.65666,2017-09-01
Nike Men's Dri-FIT Victory Golf Polo,201709,531,0.92767,2017-09-01
O'Brien Men's Neoprene Life Vest,201709,150,0.91578,2017-09-01
Nike Men's Free 5.0+ Running Shoe,201709,105,0.35137,2017-09-01
Under Armour Girls' Toddler Spine Surge Runni,201709,165,1.42805,2017-09-01
Nike Men's CJ Elite 2 TD Football Cleat,201709,106,1.02406,2017-09-01
Field & Stream Sportsman 16 Gun Fire Safe,201709,8,1.49661,2017-09-01
Pelican Sunstream 100 Kayak,201709,29,1.60905,2017-09-01
Diamondback Women's Serene Classic Comfort Bi,201709,34,0.76535,2017-09-01
ENO Atlas Hammock Straps,201709,0,1.35184,2017-09-01
Nike Men's Comfort 2 Slide,201709,0,1.71565,2017-09-01
adidas Youth Germany Black/Red Away Match Soc,201709,0,0.60725,2017-09-01
Team Golf St. Louis Cardinals Putter Grip,201709,0,2.2529,2017-09-01
LIJA Women's Eyelet Sleeveless Golf Polo,201709,0,1.38791,2017-09-01
adidas Men's F10 Messi TRX FG Soccer Cleat,201709,0,0.79231,2017-09-01
Glove It Women's Imperial Golf Glove,201709,0,1.71396,2017-09-01
Glove It Imperial Golf Towel,201709,0,0.92872,2017-09-01
Bridgestone e6 Straight Distance NFL Carolina,201709,0,0.45655,2017-09-01
Glove It Women's Mod Oval 3-Zip Carry All Gol,201709,0,1.39589,2017-09-01
Columbia Men's PFG Anchor Tough T-Shirt,201709,0,2.04095,2017-09-01
Under Armour Women's Ignite Slide,201709,0,1.22315,2017-09-01
Team Golf Tennessee Volunteers Putter Grip,201709,0,0.49377,2017-09-01
Titleist Pro V1x High Numbers Personalized Go,201709,0,1.42176,2017-09-01
Nike Men's Deutschland Weltmeister Winners Bl,201709,5,1.14285,2017-09-01
Bridgestone e6 Straight Distance NFL San Dieg,201709,0,1.66305,2017-09-01
Nike Women's Tempo Shorts,201709,0,1.92086,2017-09-01
Team Golf Texas Longhorns Putter Grip,201709,0,1.0289,2017-09-01
Hirzl Women's Soffft Flex Golf Glove,201709,0,2.13977,2017-09-01
Clicgear 8.0 Shoe Brush,201709,0,1.71882,2017-09-01
Hirzl Women's Hybrid Golf Glove,201709,0,0.18068,2017-09-01
Team Golf Pittsburgh Steelers Putter Grip,201709,0,1.37973,2017-09-01
Top Flite Women's 2017 XL Hybrid,201709,4,0.76409,2017-09-01
Glove It Urban Brick Golf Towel,201709,0,1.7704,2017-09-01
Nike Dri-FIT Crew Sock 6 Pack,201709,0,1.30814,2017-09-01
TYR Boys' Team Digi Jammer,201709,0,0.71103,2017-09-01
Team Golf San Francisco Giants Putter Grip,201709,0,1.72032,2017-09-01
Clicgear Rovic Cooler Bag,201709,0,2.18041,2017-09-01
